task_id,algorithm,runtime_learners,runtime_surrogate,runtime_optimizer,mean_runtime_learners,walltime,cpu_hours,evals,performance,utilization
german-credit,cl_mbo,298,164,365,1,563,70,396,0.2,0.0033
german-credit,central_mbo,227,209,386,0,595,74,461,0.19,0.0031
german-credit,async_mbo,11077,214301,27884,1,596,74,15451,0.18,0.95
kddcup09-appetency,cl_mbo,3625,27,100,27,752,94,132,0.018,0.011
kddcup09-appetency,central_mbo,11088,205,374,23,580,72,473,0.018,0.045
kddcup09-appetency,async_mbo,198362,37236,8804,30,582,72,6702,0.017,0.94
adult,cl_mbo,3512,106,267,11,554,69,308,0.12,0.016
adult,central_mbo,5474,214,381,12,593,74,463,0.12,0.023
adult,async_mbo,139828,101105,14214,14,596,74,10169,0.12,0.96
airlines,cl_mbo,27517,18,74,313,637,79,88,0.32,0.097
airlines,central_mbo,79643,196,385,183,580,72,435,0.32,0.31
airlines,async_mbo,259320,384,648,261,584,73,993,0.32,1
