job.id,submitted,started,done,error,mem.used,batch.id,log.file,job.hash,job.name,time.queued,time.running,tags,n_tasks,n_parameters,payload_size,clusters,ncpus,partition,walltime,runtime_median,runtime_mad
1,2026-04-07T11:19:49.944100Z,2026-04-07T11:19:55.028200Z,2026-04-07T11:19:58.406700Z,,,5159128,,job627db7d54eba6d0c5f75b500c4384f16,,5.08410000801086,3.37849998474121,,1,1,1,serial,2,serial_std,3600,1.405895,0.0288321222
2,2026-04-07T11:19:50.080200Z,2026-04-07T11:19:54.719100Z,2026-04-07T11:19:58.110600Z,,,5159129,,job1053314d8a50ba24688ec4a11f6599dd,,4.6389000415802,3.3914999961853,,1,1,10,serial,2,serial_std,3600,1.406117,0.0259321566
3,2026-04-07T11:19:50.184100Z,2026-04-07T11:19:55.345200Z,2026-04-07T11:19:58.735Z,,,5159130,,jobdef2207476e4f8147acd7cee8ea53630,,5.16110014915466,3.38979983329773,,1,1,100,serial,2,serial_std,3600,1.409067,0.026449584
4,2026-04-07T11:19:50.278800Z,2026-04-07T11:19:53.822400Z,2026-04-07T11:19:57.329300Z,,,5159131,,jobd93c0a4c06dd272b8d9814a220d4fb06,,3.54360008239746,3.5068998336792,,1,10,1,serial,2,serial_std,3600,1.4507035,0.0358589049
5,2026-04-07T11:19:50.393600Z,2026-04-07T11:19:55.067900Z,2026-04-07T11:19:58.602100Z,,,5159132,,joba3a74ff304643a36f2da66319df4b623,,4.67429995536804,3.53419995307922,,1,10,10,serial,2,serial_std,3600,1.4749565,0.0401665992
6,2026-04-07T11:19:50.495600Z,2026-04-07T11:19:55.474700Z,2026-04-07T11:19:59.083Z,,,5159133,,job47f8b81aabed61e02917c733ee20c120,,4.97909998893738,3.60829997062683,,1,10,100,serial,2,serial_std,3600,1.500288,0.0467367411
7,2026-04-07T11:19:50.596200Z,2026-04-07T11:19:54.893Z,2026-04-07T11:19:58.797200Z,,,5159134,,jobb1090395e25ca382f4ac6e4a1e1716db,,4.29679989814758,3.90420007705689,,1,100,1,serial,2,serial_std,3600,1.5904425,0.0482267541
8,2026-04-07T11:19:50.698800Z,2026-04-07T11:19:57.857200Z,2026-04-07T11:20:01.843500Z,,,5159135,,jobce72e321cf7894d289f7a2d84b055560,,7.15839982032776,3.98629999160767,,1,100,10,serial,2,serial_std,3600,1.617924,0.0350642313
9,2026-04-07T11:19:50.792500Z,2026-04-07T11:19:57.203300Z,2026-04-07T11:20:01.567600Z,,,5159136,,job4098cd2f6d6dc4e0cc50c688423c2f4f,,6.41079998016357,4.3643000125885,,1,100,100,serial,2,serial_std,3600,1.696095,0.0555352308
10,2026-04-07T11:19:50.883800Z,2026-04-07T11:19:59.002300Z,2026-04-07T11:20:05.008700Z,,,5159137,,job9f93b11f32358852e24b3897d486ab7a,,8.11849999427795,6.00639986991882,,10,1,1,serial,2,serial_std,3600,1.885904,0.0497226975
