job.id,submitted,started,done,error,mem.used,batch.id,log.file,job.hash,job.name,time.queued,time.running,tags,n_parameters,payload_size,clusters,ncpus,partition,walltime,runtime_median,runtime_mad
1,2026-04-08T09:23:06.304900Z,2026-04-08T09:23:12.427600Z,2026-04-08T09:23:17.209Z,,,5160200,,jobf1c638f34a22b489561ec8c3eb0ef09a,,6.12269997596741,4.78140020370483,,1,1,serial,2,serial_std,600,0.404618,0.0126361998
2,2026-04-08T09:23:06.395300Z,2026-04-08T09:23:11.916100Z,2026-04-08T09:23:16.689500Z,,,5160201,,jobc63bea713573e92eeccc913c3081855e,,5.52080011367798,4.77340006828308,,1,10,serial,2,serial_std,600,0.404958,0.012298167
3,2026-04-08T09:23:06.486700Z,2026-04-08T09:23:11.876Z,2026-04-08T09:23:16.704900Z,,,5160202,,jobe59712921212d3a472e4a859ba8c9d0a,,5.38929986953735,4.82890009880066,,1,100,serial,2,serial_std,600,0.40898,0.0126725235
4,2026-04-08T09:23:06.570300Z,2026-04-08T09:23:12.100600Z,2026-04-08T09:23:17.075800Z,,,5160203,,job22a8dc3b6383b42b331848d3459a1049,,5.53029990196228,4.97519993782044,,1,1000,serial,2,serial_std,600,0.4193645,0.01430709
5,2026-04-08T09:23:06.679500Z,2026-04-08T09:23:12.714300Z,2026-04-08T09:23:18.470600Z,,,5160204,,jobd2f5cb7f15fa5c01d33f84285a234410,,6.03479981422424,5.75629997253418,,1,10000,serial,2,serial_std,600,0.4985625,0.0201626187
6,2026-04-08T09:23:06.777500Z,2026-04-08T09:23:13.069200Z,2026-04-08T09:23:17.856Z,,,5160205,,job28cca95dec6f6d106734128691a10d34,,6.2917001247406,4.78679990768433,,10,1,serial,2,serial_std,600,0.408488,0.0131714184
7,2026-04-08T09:23:06.888500Z,2026-04-08T09:23:13.559600Z,2026-04-08T09:23:18.365600Z,,,5160206,,jobe49d0a8bc326290e6ed9b25519e3b98a,,6.67110013961792,4.80599999427795,,10,10,serial,2,serial_std,600,0.4075265,0.0143819613
8,2026-04-08T09:23:06.990100Z,2026-04-08T09:23:13.957300Z,2026-04-08T09:23:18.881600Z,,,5160207,,job031a071eba7ccc412fd192ba00aab842,,6.96720004081726,4.92429995536804,,10,100,serial,2,serial_std,600,0.420178,0.015115107
9,2026-04-08T09:23:07.085400Z,2026-04-08T09:23:14.365700Z,2026-04-08T09:23:20.161400Z,,,5160208,,job25d0a67a653efd411084f3673b2d7743,,7.28029990196228,5.79570007324219,,10,1000,serial,2,serial_std,600,0.5033895,0.020793465
10,2026-04-08T09:23:07.191400Z,2026-04-08T09:23:14.810Z,2026-04-08T09:23:32.346200Z,,,5160209,,job4f99342b32c3ac9bb65de08acd70158c,,7.6185998916626,17.5362000465393,,10,10000,serial,2,serial_std,600,1.535339,0.1212529584
11,2026-04-08T09:23:07.287600Z,2026-04-08T09:23:15.208100Z,2026-04-08T09:23:20.207600Z,,,5160210,,job282d44314ddbb454508c4769d975186c,,7.92050004005432,4.99950003623962,,100,1,serial,2,serial_std,600,0.423667,0.0145576494
12,2026-04-08T09:23:07.396400Z,2026-04-08T09:23:14.811Z,2026-04-08T09:23:19.902700Z,,,5160211,,job0893335a044fa1200948d27e8cfd6851,,7.41460013389587,5.09169983863831,,100,10,serial,2,serial_std,600,0.4362575,0.0146992377
13,2026-04-08T09:23:07.492500Z,2026-04-08T09:23:15.212Z,2026-04-08T09:23:21.196200Z,,,5160212,,jobaf96d2d167456a0e144f8168cfe786de,,7.71949982643127,5.98420000076294,,100,100,serial,2,serial_std,600,0.5213365,0.0221181681
14,2026-04-08T09:23:07.585900Z,2026-04-08T09:23:15.701700Z,2026-04-08T09:23:34.053500Z,,,5160213,,job9ca613b8892f64ccc1e8359ab22b5535,,8.11579990386963,18.3517999649048,,100,1000,serial,2,serial_std,600,1.6189725,0.1397091045
15,2026-04-08T09:23:07.689200Z,2026-04-08T09:23:17.204100Z,2026-04-08T09:26:44.810700Z,,,5160214,,job4e30ab746e571edd5d95c57f307df25f,,9.51489996910095,207.606600046158,,100,10000,serial,2,serial_std,600,18.9508295,1.0760725626
