job.id,submitted,started,done,error,mem.used,batch.id,log.file,job.hash,job.name,time.queued,time.running,tags,n_tasks,n_parameters,payload_size,clusters,ncpus,partition,walltime,runtime_median,runtime_mad
1,2026-04-07T11:20:08.561Z,2026-04-07T11:20:14.203200Z,2026-04-07T11:20:20.124600Z,,,5159182,,job8346fc2abb733cc17756cedb183685b2,,5.64219999313355,5.92139983177185,,1,1,1,serial,2,serial_std,3600,1.398944,0.024448074
2,2026-04-07T11:20:08.655100Z,2026-04-07T11:20:14.868900Z,2026-04-07T11:20:20.782100Z,,,5159183,,job9cb5e77026532d80c68b637eaa9ec34e,,6.21379995346069,5.91319990158081,,1,1,10,serial,2,serial_std,3600,1.3982905,0.0257957574
3,2026-04-07T11:20:08.753600Z,2026-04-07T11:20:14.413600Z,2026-04-07T11:20:20.333400Z,,,5159184,,job8d49cf7f944e1931cc1fb4d37a33dc23,,5.66000008583069,5.91980004310608,,1,1,100,serial,2,serial_std,3600,1.397409,0.0237490281
4,2026-04-07T11:20:08.850400Z,2026-04-07T11:20:15.486700Z,2026-04-07T11:20:21.797800Z,,,5159185,,job1f01619e5a68defc5779f76453de2d4c,,6.6363000869751,6.31110000610352,,1,10,1,serial,2,serial_std,3600,1.49323,0.0549318126
5,2026-04-07T11:20:08.950700Z,2026-04-07T11:20:14.739500Z,2026-04-07T11:20:21.014400Z,,,5159186,,job0fd122c83f82581ff6257d7a57d4049b,,5.78880000114441,6.27489995956421,,1,10,10,serial,2,serial_std,3600,1.4931285,0.0545500431
6,2026-04-07T11:20:09.043Z,2026-04-07T11:20:14.168100Z,2026-04-07T11:20:20.564200Z,,,5159187,,job6cff2250ddf919091509b9d528425985,,5.12510013580322,6.39609980583191,,1,10,100,serial,2,serial_std,3600,1.487739,0.0511378392
7,2026-04-07T11:20:09.141700Z,2026-04-07T11:20:14.588100Z,2026-04-07T11:20:21.369300Z,,,5159188,,jobfc4da379aa550eda90498e94b73d04a5,,5.44639992713928,6.78119993209839,,1,100,1,serial,2,serial_std,3600,1.621003,0.0606153597
8,2026-04-07T11:20:09.235500Z,2026-04-07T11:20:14.832900Z,2026-04-07T11:20:21.737300Z,,,5159189,,job5e22f1c02eaf9320b7e0a471ea582883,,5.59739995002747,6.90439987182617,,1,100,10,serial,2,serial_std,3600,1.6461425,0.0541934778
9,2026-04-07T11:20:09.330700Z,2026-04-07T11:20:14.229Z,2026-04-07T11:20:21.750700Z,,,5159190,,job40d38da5f40d7855d637e3ad890ace38,,4.89830017089844,7.52169990539551,,1,100,100,serial,2,serial_std,3600,1.729133,0.0802701879
10,2026-04-07T11:20:09.432600Z,2026-04-07T11:20:16.705100Z,2026-04-07T11:20:25.430200Z,,,5159191,,jobc7091b6754566a80bdae361f40771734,,7.27250003814697,8.72510004043579,,10,1,1,serial,2,serial_std,3600,1.502348,0.0913526229
11,2026-04-07T11:20:09.529800Z,2026-04-07T11:20:17.186500Z,2026-04-07T11:20:25.994200Z,,,5159192,,job9019dd4d6559251fb967b78a3f4ad22c,,7.65670013427734,8.80769991874695,,10,1,10,serial,2,serial_std,3600,1.501971,0.0900909303
12,2026-04-07T11:20:09.625800Z,2026-04-07T11:20:14.968700Z,2026-04-07T11:20:23.889300Z,,,5159193,,job51628ced9c0e99770a778e6a68caac3c,,5.3429000377655,8.92060017585754,,10,1,100,serial,2,serial_std,3600,1.520622,0.090964923
13,2026-04-07T11:20:09.719800Z,2026-04-07T11:20:17.553Z,2026-04-07T11:20:26.573800Z,,,5159194,,job0b38d6e19f06bd2abed560bc128828f8,,7.83319997787476,9.02080011367798,,10,10,1,serial,2,serial_std,3600,1.492994,0.0805533645
14,2026-04-07T11:20:09.814400Z,2026-04-07T11:20:17.937800Z,2026-04-07T11:20:27.058900Z,,,5159195,,jobb2838581fbce59179038ef95a94d025f,,8.12339997291565,9.12110018730164,,10,10,10,serial,2,serial_std,3600,1.4913695,0.0771292998
15,2026-04-07T11:20:09.916900Z,2026-04-07T11:20:18.347500Z,2026-04-07T11:20:27.973800Z,,,5159196,,job5a03fbfbab2afd6d9e989e5416161c46,,8.4306001663208,9.62629985809326,,10,10,100,serial,2,serial_std,3600,1.4999575,0.0693271173
16,2026-04-07T11:20:10.014200Z,2026-04-07T11:20:18.715500Z,2026-04-07T11:20:30.779300Z,,,5159197,,job6f68b1723401097532a20f304d2169dc,,8.70130014419556,12.0637998580933,,10,100,1,serial,2,serial_std,3600,1.6238415,0.0627784731
17,2026-04-07T11:20:10.104700Z,2026-04-07T11:20:19.069Z,2026-04-07T11:20:31.541100Z,,,5159198,,job0d600d07f1763cef15ab0a8e6865f0b6,,8.96429991722107,12.472100019455,,10,100,10,serial,2,serial_std,3600,1.6395545,0.0656339607
18,2026-04-07T11:20:10.196100Z,2026-04-07T11:20:19.548100Z,2026-04-07T11:20:35.348200Z,,,5159199,,job0145d36b7fb57e743e804585c4336de2,,9.35199999809265,15.8001000881195,,10,100,100,serial,2,serial_std,3600,1.715403,0.0867595281
19,2026-04-07T11:20:10.293800Z,2026-04-07T11:20:18.829900Z,2026-04-07T11:20:49.827600Z,,,5159200,,job403e9d326d1fe32ae618a2e41f5ab203,,8.53609991073608,30.9976999759674,,100,1,1,serial,2,serial_std,3600,1.435457,0.0614967654
20,2026-04-07T11:20:10.389800Z,2026-04-07T11:20:20.269500Z,2026-04-07T11:20:51.584600Z,,,5159201,,job5aa37fbe8363cb4f1eee3db1b68998d9,,9.87969994544983,31.3150999546051,,100,1,10,serial,2,serial_std,3600,1.4274865,0.0481600371
21,2026-04-07T11:20:10.489400Z,2026-04-07T11:22:09.098700Z,2026-04-07T11:22:41.233200Z,,,5159202,,jobfa0e99d048ea39733e4329297209aad1,,118.609300136566,32.1345000267029,,100,1,100,serial,2,serial_std,3600,1.438321,0.023121147
22,2026-04-07T11:20:10.582400Z,2026-04-07T11:22:09.098700Z,2026-04-07T11:22:43.176800Z,,,5159203,,jobce07fceed9f95ac9ea7ba4186b905baa,,118.516299962997,34.0780999660492,,100,10,1,serial,2,serial_std,3600,1.485679,0.0254718093
