n_tasks,n_parameters,payload_size,runtime_median,runtime_q25,runtime_q75,runtime_iqr,runtime_q95,runtime_q99,runtime_mad
1,1,1,1.0792885,1.03984625,1.2226565,0.18281025,3.18951775,5.06865086,0.0730610454000001
1,1,10,1.1427705,1.085037,1.2342575,0.1492205,3.2712932,4.77541381,0.0964794537000001
1,1,100,1.129325,1.09139675,1.20749375,0.116097,3.1195684,3.55820425,0.0672840944999998
1,10,1,1.133412,1.09428475,1.229336,0.13505125,3.3235532,5.71341974,0.0735132384
1,10,10,1.092033,1.05870425,1.1642185,0.10551425,2.844618,5.59339567,0.0636131768999999
1,10,100,1.095288,1.072906,1.143935,0.071029,3.36987875,5.88307681,0.0420724814999999
1,100,1,1.194569,1.156512,1.28907675,0.13256475,3.5902093,6.13461619,0.0756934017
1,100,10,1.1964225,1.166295,1.28090225,0.11460725,3.5219693,6.41237349,0.0592795371000001
1,100,100,1.393199,1.30661075,1.75823875,0.451628,3.776716,4.40023923999998,0.1977855117
10,1,1,1.409291,1.336056,1.52974975,0.19369375,3.73568685,7.76680873,0.1192573788
10,1,10,1.429741,1.38994075,1.5927665,0.20282575,3.81474095,6.21774054,0.0895371791999998
10,1,100,1.442282,1.3826365,1.555311,0.1726745,3.49227015,7.20452428999999,0.1044254484
10,10,1,1.4269115,1.38369725,1.60241075,0.2187135,3.8573925,5.57641982,0.0975995580000001
10,10,10,1.5277005,1.486323,1.5892515,0.1029285,2.5186298,7.02270572,0.0737689869
10,10,100,1.516277,1.4864575,1.5548215,0.0683639999999999,1.9490721,5.09995971999998,0.0492208373999998
10,100,1,1.824386,1.7718805,1.8992135,0.127333,3.30805625,7.25841176,0.0868944447000001
10,100,10,1.984338,1.9239945,2.12598375,0.20198925,3.68942575,7.68247812,0.1104440631
10,100,100,2.471608,2.3457395,2.7890715,0.443332,7.72848284999999,12.88371029,0.2597841372
100,1,1,4.113943,3.94963175,4.3613905,0.411758750000001,9.5390571,12.45600798,0.2858067324
100,1,10,4.444184,4.16744325,4.73760375,0.5701605,11.133589,13.45824759,0.4208782641
100,1,100,4.3974745,4.18451725,4.717169,0.532651749999999,9.63099,11.75067303,0.3732438087
100,10,1,4.546713,4.37954375,4.77291175,0.393368,9.43997014999999,11.06211178,0.2841425139
100,10,10,4.9031665,4.70988775,5.1360385,0.42615075,10.671853,12.44230192,0.3207723708
100,10,100,5.483941,5.31058375,5.69722525,0.3866415,11.28173595,13.24821382,0.280374486
100,100,1,8.261252,7.792454,8.991201,1.198747,14.2393685,16.99970796,0.794233267800001
100,100,10,9.3459885,8.8759815,10.36233,1.4863485,17.07910045,35.01044054,0.8662653888
100,100,100,17.473084,13.527372,19.92051225,6.39314025,137.18528665,142.41011284,5.7356004447
1000,1,1,38.9314545,33.81290625,48.383461,14.57055475,57.3987976,77.56101176,9.1615198773
1000,1,10,37.5879215,33.3942895,42.878236,9.4839465,49.1205999,67.87448213,7.0381475703
1000,1,100,38.57147,34.03136125,44.2769025,10.24554125,57.2923083,161.55830123,7.3581059937
1000,10,1,38.5728375,34.22162425,43.84667975,9.62505549999999,50.384668,78.63529095,6.90349783829999
1000,10,10,43.1261285,38.94655475,48.570986,9.62443125,57.4600941,80.55203545,7.1511202077
1000,10,100,49.15578,45.761377,56.1062335,10.3448565,184.47450255,217.83383569,6.8281313499
1000,100,1,82.0679655,78.0499755,86.29441675,8.24444124999999,91.5499333,96.31036182,6.0874659027
1000,100,10,100.340137,88.59405925,113.9826715,25.38861225,148.0049648,191.36591846,18.3534211938
1000,100,100,308.263507,283.955963,334.671014,50.715051,360.18936835,372.05880454,36.8222235087
10000,1,1,305.062412,275.83271375,330.9422925,55.10957875,351.1760179,385.76275745,39.8265041034
10000,1,10,466.6716845,444.40430925,490.3767455,45.97243625,524.3824709,614.638348620001,34.6381142688
10000,1,100,331.9948765,313.11321125,498.00328725,184.890076,507.9386087,512.93574782,41.5016760522
10000,10,1,555.918593,543.20862425,567.7434055,24.5347812499999,581.491344,596.76489682,18.601203684
10000,10,10,436.397281,370.770159,585.3223865,214.5522275,673.95284375,728.655595770001,110.1901315263
10000,10,100,825.371681,776.13312775,884.831735,108.69860725,1015.5263831,1078.80524694,81.554089848
10000,100,1,1413.024735,1324.73073575,1499.03319975,174.302464,1564.17255905,1725.29723696,129.748056249
10000,100,10,1377.382281,1323.3362045,1589.70474875,266.36854425,1870.64546495,2312.86574265,110.6333533137
10000,100,100,2204.2936405,2160.52784725,2314.45843875,153.9305915,2528.53365755,2594.71521526,86.3300729948999
1e+05,1,1,3667.418854,3604.85185225,3882.585677,277.73382475,3997.8159857,4025.55926834,154.4253809805
1e+05,1,10,3662.083298,3544.91628325,3817.83611475,272.919831500001,4210.9503547,4258.73352694,238.5159970536
1e+05,1,100,4120.229474,4022.13251925,4232.89756825,210.765049000001,4480.65148775,4612.63940555,186.8896633926
1e+05,10,1,4331.5393275,4142.33967,4404.778071,262.438400999999,4750.85839925,4895.16859505,211.337194019699
1e+05,10,10,5497.6100795,4978.42513,5726.40076075,747.975630750001,5826.044962,5838.2404588,484.4263007451
1e+05,10,100,6611.675726,6465.60958425,6898.22076525,432.611181,7147.2783326,7297.55015612,423.670343121901
1e+05,100,1,18637.0830565,15800.077638,20021.988827,4221.911189,22791.0528447,23516.94777774,3479.1924567225
1e+05,100,10,22156.625538,20847.4943855,23836.7434585,2989.249073,26338.9438314,26990.03335428,2407.6733523528
1e+05,100,100,25561.0550375,23817.86601825,27429.89512075,3612.0291025,29777.607878,30839.2567916,3099.7131170817
