n_tasks,n_parameters,payload_size,runtime_median,runtime_q25,runtime_q75,runtime_iqr,runtime_q95,runtime_q99,runtime_mad
1,1,1,1.108027,1.0510345,1.2919235,0.240889,3.26456345,5.29512311,0.0987196622999998
1,1,10,1.0725,1.05001625,1.11902725,0.0690109999999997,3.27919,5.1304232,0.0418456437
1,1,100,1.070933,1.05153425,1.10312525,0.0515909999999999,3.000338,3.34081119,0.0342799359
1,10,1,1.101576,1.06835675,1.19714425,0.1287875,3.2863407,4.69655018,0.0665309336999999
1,10,10,1.185492,1.119775,1.264656,0.144881,3.0518201,4.03048858999999,0.1027634538
1,10,100,1.145148,1.1007395,1.207989,0.1072495,2.6489609,3.81576267,0.0754080011999999
1,100,1,1.275616,1.21129725,1.38799525,0.176698,3.177312,5.94853885,0.1095315228
1,100,10,1.2299155,1.198762,1.302252,0.10349,3.63207675,6.04425552,0.0599392941
1,100,100,1.328774,1.2571615,1.4409845,0.183823,3.8611167,7.80785092,0.1171809975
10,1,1,1.0888825,1.0587055,1.1581975,0.0994920000000001,3.2440838,3.83663199999999,0.0593899907999999
10,1,10,1.104729,1.051562,1.1866815,0.1351195,3.3276401,4.35919611999999,0.0862747178999998
10,1,100,1.119083,1.072117,1.18831825,0.11620125,3.2437604,5.96210380999999,0.0789380717999999
10,10,1,1.0930395,1.07776425,1.12214775,0.0443835000000001,3.30370995,3.5753339,0.0287550269999999
10,10,10,1.1027185,1.066476,1.183997,0.117521,2.8742888,3.62121045999999,0.066524262
10,10,100,1.1054065,1.073119,1.2076465,0.1345275,3.39374135,4.13735964999998,0.0617947680000001
10,100,1,1.227969,1.19265975,1.33749225,0.1448325,3.6576565,6.14535542,0.0727593362999999
10,100,10,1.28179,1.238706,1.3893385,0.1506325,1.4959373,4.0217515,0.0855415721999998
10,100,100,1.3018065,1.2691005,1.34946275,0.0803622500000001,2.5172682,6.55820723,0.0571141998000001
100,1,1,1.1537745,1.11250625,1.256135,0.14362875,2.48692344999999,6.54018509,0.0834518475000001
100,1,10,1.1512415,1.1111725,1.21273125,0.10155875,3.22142935,5.43898475,0.0682477845000001
100,1,100,1.1637495,1.128899,1.21299,0.0840909999999999,3.0803887,6.57156128,0.0603255114000001
100,10,1,1.198437,1.1569085,1.2570115,0.100103,2.5159093,3.63171329,0.0713056470000002
100,10,10,1.192688,1.1589185,1.24290425,0.0839857500000001,3.18791155,6.08264121,0.0587539554
100,10,100,1.227705,1.190513,1.2934915,0.1029785,3.3250259,5.7837626,0.0677007050999998
100,100,1,1.5853645,1.45999325,1.7116605,0.25166725,4.17322245,7.6228173,0.1864339848
100,100,10,1.50388,1.4642355,1.55760625,0.0933707500000001,4.0276728,6.78233742,0.0657607229999999
100,100,100,1.5987175,1.5529275,1.66132225,0.10839475,4.2023213,7.44361985,0.0742130255999997
1000,1,1,1.2609645,1.2273345,1.31786425,0.09052975,3.72416625,6.33050286,0.0612187779000001
1000,1,10,1.28827,1.2493635,1.338762,0.0893985000000002,3.21934549999999,6.05828346,0.064596882
1000,1,100,1.2854725,1.2551875,1.32974075,0.0745532500000001,3.469194,3.84580616,0.0530192586000001
1000,10,1,1.470735,1.4166525,1.53294475,0.11629225,3.2130279,11.37272773,0.0844993044
1000,10,10,1.4349915,1.3852095,1.49153875,0.10632925,3.93109635,6.77173779,0.0761937792
1000,10,100,1.4875265,1.433338,1.5369655,0.1036275,3.8811052,4.17035594,0.0763286958000001
1000,100,1,3.2354515,2.83896175,3.5178125,0.67885075,5.53358474999999,7.24325115,0.4755483978
1000,100,10,3.247117,2.8014915,3.57022225,0.76873075,6.13079525,7.01691506,0.5575443321
1000,100,100,2.7766345,2.4874445,3.52873775,1.04129325,6.32794195,144.68316311,0.5330621583
10000,1,1,1.595529,1.560561,1.6520385,0.0914774999999999,4.2306522,9.24846945000006,0.0603232875
10000,1,10,1.667885,1.62656275,1.72884675,0.102284,4.42391945,8.07765689000008,0.0621498507000002
10000,1,100,1.735862,1.6965675,1.789282,0.0927145,4.53315825,8.43750812000015,0.0629408177999999
10000,10,1,3.1469605,2.9583285,3.3149035,0.356574999999999,6.6831573,7.95116777000024,0.2699792361
10000,10,10,3.7983075,3.6786675,6.4611125,2.782445,9.14251755,13.3176049000001,0.224502705
10000,10,100,8.4196445,6.4679575,10.15281825,3.68486075,16.6928708,82.6223716000006,2.8504045059
10000,100,1,24.880561,23.26760775,62.98797525,39.7203675,486.4251677,614.287984820001,3.2165466606
10000,100,10,25.0563215,24.35977075,26.016495,1.65672425,96.3762289,506.29408075,1.1529624225
10000,100,100,24.928421,24.42420225,25.782884,1.35868175,748.24871645,798.62086809,0.832783833
1e+05,1,1,12.703559,11.780511,14.922511,3.142,37.58134535,38.72108267,2.1353709888
1e+05,1,10,6.722667,6.54480475,7.03465025,0.4898455,27.55132865,40.78669373,0.301714289099999
1e+05,1,100,20.100442,18.02142825,33.96818925,15.946761,77.9818505999999,100.40266932,10.637995998
1e+05,10,1,27.1192785,26.5903575,28.9894465,2.399089,62.0507695499999,83.34500751,1.2818737512
1e+05,10,10,40.1019395,36.73077225,54.87169325,18.140921,72.1063,73.615348,9.7089373101
1e+05,10,100,41.1267515,37.80866425,54.45668775,16.6480235,64.47168535,67.80845227,10.6279573134
1e+05,100,1,575.032268,305.15617075,5372.77163625,5067.6154655,7251.52090365,7268.33831913,418.5049424829
1e+05,100,10,294.3367015,281.14314075,314.78310425,33.6399635,2407.24218725,3356.81537345,23.6730278001
1e+05,100,100,335.69149,317.3303295,373.15818825,55.8278587499999,422.81378375,433.10817995,34.5534444654
