n_parameters,payload_size,runtime_median,runtime_q25,runtime_q75,runtime_iqr,runtime_q95,runtime_q99,runtime_mad
1,1,0.25604,0.2471805,0.27816575,0.03098525,0.3895346,0.853266550000001,0.016968357
1,10,0.2487295,0.241568,0.2591525,0.0175845,0.34000315,0.77212549,0.0122492412
1,100,0.255929,0.24700525,0.271992,0.02498675,0.421803949999999,0.862328650000001,0.0165991896
1,1000,0.258423,0.2516475,0.26856525,0.0169177500000001,0.3241439,0.78778434,0.0115857777
1,10000,0.341087,0.32960675,0.35600425,0.0263975,0.492074649999999,0.94634616,0.0190692012
10,1,0.2467335,0.23984075,0.2568525,0.01701175,0.31715185,0.79666871,0.0116435991
10,10,0.250632,0.2439095,0.26165275,0.01774325,0.33438695,0.80756425,0.0118474566
10,100,0.2874775,0.2764145,0.3005845,0.02417,0.37594495,0.83007549,0.0176273727
10,1000,0.3514595,0.3415325,0.374436,0.0329035,0.506738149999999,0.95747031,0.0191537094
10,10000,1.3322235,1.25338625,1.37571125,0.122325,2.03431735,4.96712365,0.0809062232999999
100,1,0.2695205,0.2621695,0.28514675,0.02297725,0.461062149999999,0.9321679,0.013810419
100,10,0.276136,0.26837675,0.28787325,0.0194965,0.36418515,0.81884875,0.0133967736
100,100,0.361225,0.34938975,0.37896725,0.0295775,0.4810882,0.96077264,0.0205303035
100,1000,1.3742305,1.31667025,1.50148525,0.184815,2.07145875,6.27304499,0.1036404117
100,10000,12.0726545,8.85476525,15.35793275,6.5031675,20.8002055,24.5146974,4.7933354973
